rid,sid,sentence,category,target,from,to,polarity
1004293,1004293:0,"Judging from previous posts this used to be a good place, but not any longer.",RESTAURANT#GENERAL,place,51,56,negative
1004293,1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",SERVICE#GENERAL,staff,75,80,negative
1004293,1004293:2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",SERVICE#GENERAL,NULL,0,0,negative
1004293,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,FOOD#QUALITY,food,4,8,negative
1004293,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,FOOD#STYLE_OPTIONS,portions,52,60,negative
1004293,1004293:4,"After all that, they complained to me about the small tip.",SERVICE#GENERAL,NULL,0,0,negative
1004293,1004293:5,Avoid this place!,RESTAURANT#GENERAL,place,11,16,negative
1014458,1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",FOOD#QUALITY,food,38,42,positive
1014458,1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn.,RESTAURANT#GENERAL,Saul,0,4,positive
1014458,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,FOOD#QUALITY,foie gras terrine with figs,42,69,positive
1014458,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,FOOD#QUALITY,duck confit,4,15,positive
1014458,1014458:3,The wine list is interesting and has many good values.,DRINKS#STYLE_OPTIONS,wine list,4,13,positive
1014458,1014458:3,The wine list is interesting and has many good values.,DRINKS#PRICES,wine list,4,13,positive
1014458,1014458:4,"For the price, you cannot eat this well in Manhattan.",RESTAURANT#PRICES,NULL,0,0,positive
1014458,1014458:4,"For the price, you cannot eat this well in Manhattan.",FOOD#QUALITY,NULL,0,0,positive
1016296,1016296:0,I was very disappointed with this restaurant.,RESTAURANT#GENERAL,restaurant,34,44,negative
1016296,1016296:1,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,SERVICE#GENERAL,cart attendant,12,26,negative
